seed,converged,sweeps,E,max_sweeps,hidden,eps,alpha,anti_h1,anti_h2,mirror,r1,r2,r3,w_h1,bias_h1,bias_out,w_out,run_id,notebook,python,numpy,platform
0,True,17395,0.285071768539891,20000,2,0.1,0.9,0.000680660208246541,0.00012728358026519698,0.07334309912934266,1.0,1.9824453808265592,3.9279488336440864,-4.14;8.21;-2.09;2.09;-8.21;4.14,-1.7356037589867532,4.326802152298434,-10.31;-10.12,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,True,808,0.2847173712581066,20000,2,0.1,0.9,0.0005273589980321157,0.0005086733455678116,0.005252181308337364,1.0,1.9815006652011666,3.9368660999525105,-4.23;-8.40;-2.13;2.13;8.40;4.23,-1.77765887405758,4.39674562866805,-10.38;-10.37,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,True,14775,0.28528802950450394,20000,2,0.1,0.9,0.0004930682569484575,0.0004617792488779407,0.005217530152391854,1.0,1.9854515418944911,3.9388150452956023,-4.23;8.40;-2.13;2.13;-8.40;4.23,-1.777409982843406,4.39503719794886,-10.38;-10.36,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,True,1190,0.2807627554247347,20000,2,0.1,0.9,0.0004023935393102614,0.0003799565871416733,0.0035236939316325624,1.0,1.986293685135832,3.9388507684464478,-2.15;-4.26;-8.45;8.45;4.26;2.14,-1.786335188543616,4.382102064170459,-10.36;-10.35,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
4,False,20000,3.999993129847288,20000,2,0.1,0.9,1.9824060267341916,1.9021942536209588,0.5051815143411795,1.0,3.1925672941888186,3.336328033659577,0.32;0.34;0.10;0.21;0.28;0.30,0.3317133684796356,-8.516891486461255,-6.31;-3.51,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
5,True,2257,0.2821898820098702,20000,2,0.1,0.9,0.0005291888219924939,0.0004888960886386114,0.014598291069616772,1.0,1.981206218433339,3.935499296001722,-2.12;8.36;-4.21;4.21;-8.36;2.12,-1.7699078272537374,4.414013659756969,-10.43;-10.39,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
6,True,758,0.2858478621766039,20000,2,0.1,0.9,0.00025303127602808133,0.00026161374248784427,0.0013107493784320226,1.0,1.9821888975653115,3.9281535721931444,8.43;-4.25;-2.15;2.14;4.25;-8.43,-1.7905956804006185,4.370791157727178,-10.35;-10.35,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
7,False,20000,3.999990502599191,20000,2,0.1,0.9,1.8938447626904795,1.613509820478337,1.239958412287223,1.0,9.421289436982404,14.1042958028916,0.22;0.33;0.02;-0.15;0.34;0.04,0.2635910185381271,-8.245747209858289,-4.28;-4.71,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
8,True,721,0.2823759955166597,20000,2,0.1,0.9,0.00045353848865128867,0.00041664296129003694,0.012599110460451183,1.0,1.986602784939417,3.9403383407663823,-8.40;-2.13;4.24;-4.24;2.13;8.40,-1.7768660070548061,4.381430802053877,-10.36;-10.32,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
9,True,1965,0.2466896992106506,20000,2,0.1,0.9,0.00017704500709210338,0.00031478285597551984,0.039422391638389655,1.0,1.5518194823018152,2.0635734697104895,3.92;8.09;-6.08;6.08;-8.09;-3.92,-1.7716620272745958,4.8641736492587295,-11.16;-11.30,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
