seed,sweeps,eps_late,alpha_late,decay,margin,E,train_strict,train_top,train_n,test_strict,test_top,test_n,run_id,notebook,python,numpy,platform
0,1500,0.01,0.9,0.002,켬,78.17571620270309,0,6,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,1500,0.01,0.9,0.002,켬,76.75612377172857,0,6,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,1500,0.01,0.9,0.002,켬,78.77457380116483,0,6,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,1500,0.01,0.9,0.002,켬,78.30193830085618,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
4,1500,0.01,0.9,0.002,켬,76.74867282539208,0,6,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
5,1500,0.01,0.9,0.002,켬,77.86582752482008,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
6,1500,0.01,0.9,0.002,켬,77.36521533963432,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
7,1500,0.01,0.9,0.002,켬,79.13409667078145,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
8,1500,0.01,0.9,0.002,켬,76.92690230706116,0,6,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
9,1500,0.01,0.9,0.002,켬,77.87024291932458,0,4,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
