eps_late,decay,margin,seed,sweeps,E,train_strict,train_top,train_n,test_strict,test_top,test_n,run_id,notebook,python,numpy,platform
0.01,0.0,켬,0,6000,76.45726550761611,0,13,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,켬,1,6000,79.38225536576127,0,15,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,켬,2,6000,76.8667066967709,0,13,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,켬,3,6000,75.78701590781625,0,13,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,켬,4,6000,79.39637868627065,0,9,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,켬,5,6000,77.65395726978977,0,14,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,켬,6,6000,76.62613733563362,0,16,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,켬,7,6000,71.72637124054337,0,14,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,끔,0,6000,46.323451145397705,0,19,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,끔,1,6000,46.236419422531014,0,22,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,끔,2,6000,51.08121212779662,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,끔,3,6000,44.09026984182757,0,23,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,끔,4,6000,42.98921471063428,4,28,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,끔,5,6000,50.73400863740518,0,11,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,끔,6,6000,51.119119725242825,0,14,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.0,끔,7,6000,49.06913121636116,0,14,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,켬,0,6000,77.55591681300365,0,6,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,켬,1,6000,76.50405083290724,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,켬,2,6000,77.99449070028521,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,켬,3,6000,76.23060402672563,0,6,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,켬,4,6000,77.49071301204299,0,4,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,켬,5,6000,78.20897004106544,0,3,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,켬,6,6000,79.15254545432269,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,켬,7,6000,78.98030508224585,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,0,6000,51.258835931398096,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,1,6000,51.278303400009705,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,2,6000,51.21941244277643,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,3,6000,50.7939815643673,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,4,6000,51.278284201071926,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,5,6000,50.77452742359674,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,6,6000,51.22939321309894,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.01,0.002,끔,7,6000,51.23891343030816,0,7,100,0,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.02,0.0,켬,0,6000,14.70451171554111,54,93,100,0,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
