decay,seed,eps_late,margin,sweeps,nat_eta2_max,gen_eta2_max,nat_eta2_all,gen_eta2_all,weight_abs_mean,train_top,test_top,test_n,run_id,notebook,python,numpy,platform
0.002,0,0.1,켬,6000,0.8269549903586255,0.7057780978793593,0.021;0.827;0.538;0.049;0.056;0.024,0.029;0.033;0.046;0.706;0.659;0.132,1.3676012967365683,100,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,1,0.1,켬,6000,0.8659892216409277,0.8065500126770397,0.046;0.009;0.185;0.866;0.146;0.023,0.807;0.444;0.144;0.018;0.015;0.147,1.3858877405343917,100,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,2,0.1,켬,6000,0.4369571621070483,0.7385967723684664,0.437;0.418;0.119;0.360;0.111;0.289,0.057;0.140;0.739;0.106;0.616;0.035,1.4175230190538974,100,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,3,0.1,켬,6000,0.5987002315762697,0.3745542829474012,0.334;0.010;0.196;0.599;0.271;0.291,0.028;0.326;0.375;0.037;0.223;0.104,1.4328569477624877,94,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,4,0.1,켬,6000,0.9089588331593478,0.7337593427575492,0.000;0.006;0.004;0.909;0.008;0.010,0.567;0.143;0.734;0.004;0.487;0.204,1.3281577424995725,100,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,5,0.1,켬,6000,0.6196244992961716,0.6213180669701115,0.104;0.196;0.042;0.620;0.000;0.560,0.621;0.227;0.598;0.015;0.154;0.001,1.4028193774961444,92,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,6,0.1,켬,6000,0.9036128769394164,0.6209194866938285,0.351;0.000;0.904;0.021;0.135;0.031,0.204;0.192;0.003;0.226;0.621;0.439,1.5983171848540705,99,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,7,0.1,켬,6000,0.9018429323241344,0.558715122632686,0.000;0.330;0.188;0.017;0.902;0.470,0.559;0.239;0.336;0.342;0.015;0.213,1.3820707106340793,92,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,8,0.1,켬,6000,0.7188348326490598,0.8619099967649376,0.719;0.211;0.000;0.040;0.050;0.346,0.099;0.523;0.611;0.571;0.862;0.087,1.2194110786428043,58,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,9,0.1,켬,6000,0.6815170330643047,0.7808082223821922,0.013;0.325;0.082;0.041;0.624;0.682,0.781;0.043;0.482;0.589;0.015;0.099,1.3149623333486335,98,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,10,0.1,켬,6000,0.8952977859136351,0.8888565242521393,0.658;0.100;0.009;0.128;0.001;0.895,0.234;0.538;0.889;0.705;0.195;0.009,1.7811618468099413,98,4,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.002,11,0.1,켬,6000,0.7222949932332788,0.7288067472232566,0.722;0.038;0.005;0.047;0.690;0.118,0.019;0.356;0.729;0.233;0.023;0.638,1.6814174525713694,100,3,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.0,0,0.05,켬,6000,0.6482717624233737,0.8233334786724033,0.031;0.018;0.210;0.558;0.316;0.648,0.170;0.823;0.010;0.097;0.457;0.142,1.8107209254155086,99,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.0,1,0.05,켬,6000,0.7557843881137083,0.6392853765028089,0.634;0.137;0.756;0.253;0.039;0.083,0.109;0.423;0.060;0.321;0.639;0.623,1.7093237525201035,100,2,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.0,2,0.05,켬,6000,0.6534571879265352,0.5438657634865178,0.653;0.004;0.591;0.537;0.192;0.045,0.038;0.535;0.164;0.053;0.189;0.544,1.7426817291593357,94,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.0,3,0.05,켬,6000,0.7342044115018278,0.8063355225703781,0.011;0.018;0.015;0.734;0.648;0.086,0.044;0.788;0.806;0.106;0.023;0.484,1.7460150654804822,93,0,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.0,4,0.05,켬,6000,0.7082315855233355,0.7927620770388616,0.075;0.097;0.708;0.005;0.231;0.387,0.563;0.533;0.007;0.793;0.077;0.270,1.7206988326666284,100,1,4,20260919_173231,backprop_1986.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
