epoch,recon_rmse,seconds_total,run_id,notebook,python,numpy,platform
1,0.23655847881231218,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,0.18785854974241356,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,0.16979996926787208,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
4,0.15869227396276747,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
5,0.15103188140281976,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
6,0.1455063896161904,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
7,0.14133821464775395,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
8,0.13785963896053813,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
9,0.1349967296733134,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10,0.13257237306162623,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
11,0.13037043616321264,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
12,0.128530337309609,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
13,0.12693515412857231,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
14,0.12548770786019453,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
15,0.12413205499518776,31.24,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
