seed,init,layer,grad_norm,run_id,notebook,python,numpy,platform
0,pretrained,1,0.036163905513699426,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,pretrained,2,0.049451812201557796,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,pretrained,3,0.17866414694195343,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,random,1,0.02675187344268674,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,random,2,0.10501111639610992,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,random,3,0.4244542031952815,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,pretrained,1,0.03576147898223696,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,pretrained,2,0.04810634941260939,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,pretrained,3,0.1579325945161905,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,random,1,0.023938482187052638,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,random,2,0.08796231095486462,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,random,3,0.37246569572579147,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,pretrained,1,0.03178504584693507,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,pretrained,2,0.04375379355727639,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,pretrained,3,0.14205033312574464,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,random,1,0.016828702563740902,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,random,2,0.05094347879152547,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,random,3,0.22191222886751455,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,pretrained,1,0.033472104133475726,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,pretrained,2,0.04487906244936256,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,pretrained,3,0.168984362016337,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,random,1,0.022876842547997305,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,random,2,0.0755789423703473,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,random,3,0.3386819017771852,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
4,pretrained,1,0.03420972843529097,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
4,pretrained,2,0.04758269157042568,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
4,pretrained,3,0.1697239286326924,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
4,random,1,0.02244814797328568,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
4,random,2,0.07680322654267183,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
4,random,3,0.3349109621656339,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
