n_labels,seed,init,test_err,train_err,run_id,notebook,python,numpy,platform
100,0,pretrained,0.1995,0.0,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
100,0,random,0.836,0.7,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,0,pretrained,0.088,0.0,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,0,random,0.1355,0.033,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,0,pretrained,0.037,0.0004,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,0,random,0.0515,0.0014,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
100,1,pretrained,0.241,0.0,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
100,1,random,0.756,0.62,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,1,pretrained,0.0935,0.0,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,1,random,0.1425,0.047,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,1,pretrained,0.036,0.0005,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,1,random,0.0585,0.002,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
100,2,pretrained,0.1835,0.0,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
100,2,random,0.7585,0.61,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,2,pretrained,0.087,0.001,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,2,random,0.1255,0.025,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,2,pretrained,0.036,0.0007,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,2,random,0.0605,0.0025,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
100,3,pretrained,0.249,0.0,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
100,3,random,0.701,0.63,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,3,pretrained,0.088,0.0,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,3,random,0.1275,0.033,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,3,pretrained,0.0375,0.0006,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,3,random,0.0565,0.0025,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
100,4,pretrained,0.246,0.0,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
100,4,random,0.577,0.42,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,4,pretrained,0.0955,0.002,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
1000,4,random,0.129,0.035,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,4,pretrained,0.04,0.0005,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
10000,4,random,0.054,0.0017,20260920_142811,dbn_2006.ipynb,3.13.15,2.1.3,Linux-6.6.122+-x86_64-with-glibc2.39
