model,cond,seed,lr,test_err,train_err,seconds,run_id,notebook,python,torch,device
LeNet-5,원본,0,0.003,1.94,0.2833333333333333,14.244783066999958,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,원본,1,0.003,2.01,0.2833333333333333,14.24953265199997,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,원본,2,0.003,1.97,0.3,14.919799232000003,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,픽셀 섞음,0,0.003,89.9,89.525,14.283667465000008,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,픽셀 섞음,1,0.003,90.26,90.6,14.021479931000044,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
LeNet-5,픽셀 섞음,2,0.003,58.8,59.24166666666667,14.043172876000028,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
완전연결 1024-300-10,원본,0,0.03,4.96,1.3583333333333334,6.997373751999987,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
완전연결 1024-300-10,원본,1,0.03,5.04,1.45,6.67199876799998,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
완전연결 1024-300-10,원본,2,0.03,4.79,1.4333333333333333,7.240281669000012,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
완전연결 1024-300-10,픽셀 섞음,0,0.03,4.87,1.3833333333333333,6.937805288999982,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
완전연결 1024-300-10,픽셀 섞음,1,0.03,4.89,1.3916666666666666,6.996905139999967,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
완전연결 1024-300-10,픽셀 섞음,2,0.03,4.77,1.4083333333333334,6.608252667000045,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
