seed,axis,shift_px,test_err,run_id,notebook,python,torch,device
0,가로,-8,77.98,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,-7,74.59,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,-6,65.24,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,-5,52.58,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,-4,36.45,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,-3,19.75,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,-2,6.88,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,-1,2.73,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,0,2.01,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,1,2.64,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,2,5.46,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,3,20.25,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,4,39.41,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,5,58.67,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,6,69.19,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,7,75.05,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,가로,8,78.71,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,-8,87.24,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,-7,86.4,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,-6,84.3,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,-5,77.16,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,-4,59.72,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,-3,33.95,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,-2,12.4,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,-1,3.54,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,0,2.01,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,1,3.19,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,2,8.91,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,3,26.73,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,4,55.48,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,5,73.63,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,6,82.93,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,7,86.12,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
0,세로,8,87.23,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
1,가로,-8,80.44,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
1,가로,-7,78.1,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
1,가로,-6,70.46,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
1,가로,-5,54.89,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
1,가로,-4,34.07,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
1,가로,-3,17.19,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
1,가로,-2,6.01,20260921_090831,lenet_1998.ipynb,3.13.15,2.11.0+cu128,Tesla T4
