task,seed,converged,sweeps,updates,max_sweeps,eta,w1,w2,threshold,margin,run_id,notebook,python,numpy,scipy,platform
AND,0,True,7,10,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,1,True,4,6,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,2,True,9,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,3,True,7,10,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,4,True,4,6,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,5,True,6,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,6,True,8,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,7,True,6,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,8,True,9,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,9,True,7,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,10,True,8,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,11,True,9,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,12,True,7,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,13,True,8,10,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,14,True,4,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,15,True,7,13,2000,1.0,2.0,1.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,16,True,5,10,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,17,True,8,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,18,True,9,13,2000,1.0,2.0,1.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,19,True,8,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,20,True,6,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,21,True,5,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,22,True,9,15,2000,1.0,2.0,1.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,23,True,5,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,24,True,5,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,25,True,6,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,26,True,5,10,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,27,True,5,6,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,28,True,6,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,29,True,9,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,30,True,7,13,2000,1.0,1.0,2.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,31,True,6,8,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,32,True,5,10,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,33,True,7,11,2000,1.0,2.0,1.0,-3.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
AND,34,True,7,10,2000,1.0,1.0,1.0,-2.0,0.0,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
