gamma_target,seed,n,R,gamma,bound,converged,sweeps,updates,within_bound,run_id,notebook,python,numpy,scipy,platform
0.05,0,60,1.7069508994268854,0.09184996681140228,345.3695542967548,True,2,12,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,1,60,1.530995693181022,0.12033933503368788,161.85746092111037,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,2,60,1.5888650807878124,0.07209472209488671,485.69887410994164,True,3,12,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,3,60,1.5059584466326836,0.054495390461389674,763.6712483856256,True,3,12,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,4,60,1.61735794099414,0.08072292774158486,401.4380001962357,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,5,60,1.6766590559557941,0.05415188884966348,958.6549048486039,True,3,10,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,6,60,1.6188430737873685,0.05504577350605651,864.8913333757073,True,5,18,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,7,60,1.5656068632507303,0.057349009877379516,745.2699054635979,True,4,14,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,8,60,1.5927718269166784,0.057785939103836614,759.7361285183218,True,4,20,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,9,60,1.7021386112622325,0.05646891973938128,908.5961397153311,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,10,60,1.6942874686483338,0.06488433034648716,681.8589476869504,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,11,60,1.6314774630192481,0.05282803217631793,953.7472316944546,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,12,60,1.6577608240065393,0.06413835790298687,668.048619637472,True,3,12,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,13,60,1.6167479227268242,0.06671407605619918,587.2860320984003,True,4,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,14,60,1.6192469823379148,0.05346400241336481,917.282815164762,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,15,60,1.6555171173458687,0.05717434109527151,838.4265346760884,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,16,60,1.6679993157548287,0.07874543283807352,448.6844177198645,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,17,60,1.6383452888765242,0.05587219447435359,859.8435040805203,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,18,60,1.6478025653675445,0.05539870012060204,884.7309093545881,True,3,14,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,19,60,1.6980713945590087,0.056480297522212716,903.8949091322656,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0,60,1.7069508994268854,0.10589003451166724,259.85547875707755,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,1,60,1.530995693181022,0.12033933503368788,161.85746092111037,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,2,60,1.5888650807878124,0.12212741203363074,169.25742620455017,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,3,60,1.5059584466326836,0.10254310209892106,215.6815890360384,True,3,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,4,60,1.61735794099414,0.12114451968747625,178.2398243952529,True,2,4,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,5,60,1.575252533529642,0.13255881185368978,141.21576010735782,True,3,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,6,60,1.6188430737873685,0.10763730853184485,226.19543898423984,True,2,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,7,60,1.5656068632507303,0.10392805102482178,226.93415615119238,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,8,60,1.6195703142144307,0.10460894007960367,239.69667634013632,True,3,12,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,9,60,1.7021386112622325,0.10553504095102191,260.133617667692,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,10,60,1.6942874686483338,0.11222376265006943,227.931603643276,True,2,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,11,60,1.6314774630192481,0.10464096031562778,243.08531556274355,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,12,60,1.6577608240065393,0.11133518145272775,221.7067429780294,True,2,2,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,13,60,1.6167479227268242,0.10248771773792384,248.85191036757826,True,3,12,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,14,60,1.6192469823379148,0.11449331267789178,200.01655846194987,True,3,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,15,60,1.6555171173458687,0.11221423440597497,217.65640388520157,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,16,60,1.6679993157548287,0.1018468216919534,268.22346899003014,True,2,6,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,17,60,1.6383452888765242,0.10490001360978007,243.92694927498854,True,2,8,True,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
