gamma_target,seed,converged,got,best,ratio,run_id,notebook,python,numpy,scipy,platform
0.05,0,True,0.004684412110005833,0.08250967604340151,0.056774094077666135,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,1,True,0.05410905497857256,0.12602338314734632,0.42935726392385726,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,2,True,0.06508402306941052,0.09980168446588158,0.6521335127530867,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,3,True,0.04077621650827199,0.07550882474964637,0.5400192181969162,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,4,True,0.03444695840767739,0.19253567913905106,0.17891207781181936,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,5,True,0.04938260254942431,0.08871401169403206,0.5566494131698292,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,6,True,0.022750696130703428,0.1333044585705149,0.1706671807880218,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,7,True,0.08387364514418927,0.11015152112201308,0.7614388279875297,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,8,True,0.05209116634524225,0.05610438587994275,0.9284687021922252,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,9,True,0.03573157071292946,0.06654429165349135,0.5369592165619627,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,10,True,0.006525914336256053,0.09502666983024718,0.06867455576327942,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,11,True,0.020919830019106744,0.09895330713160747,0.2114111253632328,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,12,True,0.02361858263495984,0.061303578396601596,0.3852724955492835,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,13,True,0.07486258692359336,0.11414105980117363,0.6558777976479206,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,14,True,0.05106999304806436,0.0632028558863332,0.808032996798608,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,15,True,0.0004673233608955348,0.08823468436177168,0.005296368024386633,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,16,True,0.03839873158270009,0.0715082539505415,0.5369832076903803,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,17,True,0.03519754364320215,0.052419713998727004,0.6714562319828168,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,18,True,0.0809098181468216,0.0970766784846624,0.8334629842079417,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.05,19,True,0.03221963436468166,0.1045317550881435,0.3082281966615154,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,0,True,0.02491759977210599,0.15348044167296745,0.162350326207686,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,1,True,0.04233929215662792,0.13050020068863424,0.3244385214214878,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,2,True,0.14567688368777149,0.15117058644592815,0.9636589174698896,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,3,True,0.07417436399515778,0.1554177579260927,0.47725797222239325,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,4,True,0.11111231317594888,0.22142690637755116,0.5018013167130341,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,5,True,0.01139721706466343,0.1308340456799146,0.08711201282078147,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,6,True,0.022750696130703428,0.1333044585705149,0.1706671807880218,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,7,True,0.07340781191423668,0.15094860732281729,0.4863099648031029,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,8,True,0.051909805812143134,0.16479423829290882,0.3149976986445214,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,9,True,0.0097735251609571,0.11639627798711435,0.08396767774686986,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,10,True,0.04172505785266628,0.11431696286484908,0.3649944575766557,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,11,True,0.10857875243037936,0.119646174320841,0.9074987399030123,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0.1,12,True,0.06694525708817542,0.12698755545399892,0.5271796661400121,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
