seed,eta,start,converged,sweeps,updates,run_id,notebook,python,numpy,scipy,platform
0,0.01,영에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,0.01,난수에서,True,7,9,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,0.1,영에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,0.1,난수에서,True,6,11,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,1.0,영에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,1.0,난수에서,True,3,8,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,10.0,영에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
0,10.0,난수에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,0.01,영에서,True,3,10,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,0.01,난수에서,True,24,194,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,0.1,영에서,True,3,10,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,0.1,난수에서,True,4,22,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,1.0,영에서,True,3,10,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,1.0,난수에서,True,4,13,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,10.0,영에서,True,3,10,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
1,10.0,난수에서,True,4,10,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,0.01,영에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,0.01,난수에서,True,5,81,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,0.1,영에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,0.1,난수에서,True,2,11,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,1.0,영에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,1.0,난수에서,True,4,12,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,10.0,영에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
2,10.0,난수에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,0.01,영에서,True,4,12,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,0.01,난수에서,True,8,145,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,0.1,영에서,True,4,12,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,0.1,난수에서,True,3,20,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,1.0,영에서,True,4,12,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,1.0,난수에서,True,2,6,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,10.0,영에서,True,4,12,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
3,10.0,난수에서,True,2,4,20260919_173455,perceptron_1958.ipynb,3.13.15,2.1.3,1.16.3,Linux-6.6.122+-x86_64-with-glibc2.39
